,year,Home,Visitor,HomeWin
510,21-22,New York Rangers,Pittsburgh Penguins,True
511,21-22,Boston Bruins,Carolina Hurricanes,True
512,21-22,Los Angeles Kings,Edmonton Oilers,False
513,21-22,St. Louis Blues,Minnesota Wild,True
514,21-22,Tampa Bay Lightning,Toronto Maple Leafs,True
515,21-22,Washington Capitals,Florida Panthers,False
516,21-22,Pittsburgh Penguins,New York Rangers,False
517,21-22,Dallas Stars,Calgary Flames,True
518,21-22,Carolina Hurricanes,Boston Bruins,True
519,21-22,Toronto Maple Leafs,Tampa Bay Lightning,False
520,21-22,Edmonton Oilers,Los Angeles Kings,True
521,21-22,Calgary Flames,Dallas Stars,True
522,21-22,New York Rangers,Pittsburgh Penguins,True
523,21-22,Colorado Avalanche,St. Louis Blues,True
524,21-22,Florida Panthers,Tampa Bay Lightning,False
525,21-22,Carolina Hurricanes,New York Rangers,True
526,21-22,Calgary Flames,Edmonton Oilers,True
527,21-22,Colorado Avalanche,St. Louis Blues,False
528,21-22,Florida Panthers,Tampa Bay Lightning,False
529,21-22,Calgary Flames,Edmonton Oilers,False
530,21-22,Carolina Hurricanes,New York Rangers,True
531,21-22,St. Louis Blues,Colorado Avalanche,False
532,21-22,Edmonton Oilers,Calgary Flames,True
533,21-22,New York Rangers,Carolina Hurricanes,True
534,21-22,Tampa Bay Lightning,Florida Panthers,True
535,21-22,St. Louis Blues,Colorado Avalanche,False
536,21-22,Tampa Bay Lightning,Florida Panthers,True
537,21-22,Edmonton Oilers,Calgary Flames,True
538,21-22,New York Rangers,Carolina Hurricanes,True
539,21-22,Colorado Avalanche,St. Louis Blues,False
540,21-22,Calgary Flames,Edmonton Oilers,False
541,21-22,Carolina Hurricanes,New York Rangers,True
542,21-22,St. Louis Blues,Colorado Avalanche,False
543,21-22,New York Rangers,Carolina Hurricanes,True
544,21-22,Carolina Hurricanes,New York Rangers,False
545,21-22,Colorado Avalanche,Edmonton Oilers,True
546,21-22,New York Rangers,Tampa Bay Lightning,True
547,21-22,Colorado Avalanche,Edmonton Oilers,True
548,21-22,New York Rangers,Tampa Bay Lightning,True
549,21-22,Edmonton Oilers,Colorado Avalanche,False
550,21-22,Tampa Bay Lightning,New York Rangers,True
551,21-22,Edmonton Oilers,Colorado Avalanche,False
552,21-22,Tampa Bay Lightning,New York Rangers,True
553,21-22,New York Rangers,Tampa Bay Lightning,False
554,21-22,Tampa Bay Lightning,New York Rangers,True
555,21-22,Colorado Avalanche,Tampa Bay Lightning,True
556,21-22,Colorado Avalanche,Tampa Bay Lightning,True
557,21-22,Tampa Bay Lightning,Colorado Avalanche,True
558,21-22,Tampa Bay Lightning,Colorado Avalanche,False
559,21-22,Colorado Avalanche,Tampa Bay Lightning,False
560,21-22,Tampa Bay Lightning,Colorado Avalanche,False
561,22-23,Carolina Hurricanes,New York Islanders,True
562,22-23,Dallas Stars,Minnesota Wild,False
563,22-23,Edmonton Oilers,Los Angeles Kings,False
564,22-23,Boston Bruins,Florida Panthers,True
565,22-23,Colorado Avalanche,Seattle Kraken,False
566,22-23,New Jersey Devils,New York Rangers,False
567,22-23,Toronto Maple Leafs,Tampa Bay Lightning,False
568,22-23,Vegas Golden Knights,Winnipeg Jets,False
569,22-23,Edmonton Oilers,Los Angeles Kings,True
570,22-23,Dallas Stars,Minnesota Wild,True
571,22-23,Carolina Hurricanes,New York Islanders,True
572,22-23,Boston Bruins,Florida Panthers,False
573,22-23,Colorado Avalanche,Seattle Kraken,True
574,22-23,New Jersey Devils,New York Rangers,False
575,22-23,Toronto Maple Leafs,Tampa Bay Lightning,True
576,22-23,Vegas Golden Knights,Winnipeg Jets,True
577,22-23,Florida Panthers,Boston Bruins,False
578,22-23,Los Angeles Kings,Edmonton Oilers,True
579,22-23,Minnesota Wild,Dallas Stars,True
580,22-23,New York Islanders,Carolina Hurricanes,True
581,22-23,Winnipeg Jets,Vegas Golden Knights,False
582,22-23,Tampa Bay Lightning,Toronto Maple Leafs,False
583,22-23,Seattle Kraken,Colorado Avalanche,False
584,22-23,New York Rangers,New Jersey Devils,False
585,22-23,Los Angeles Kings,Edmonton Oilers,False
586,22-23,Minnesota Wild,Dallas Stars,False
587,22-23,New York Islanders,Carolina Hurricanes,False
588,22-23,Florida Panthers,Boston Bruins,False
589,22-23,New York Rangers,New Jersey Devils,False
590,22-23,Seattle Kraken,Colorado Avalanche,True
591,22-23,Tampa Bay Lightning,Toronto Maple Leafs,False
592,22-23,Winnipeg Jets,Vegas Golden Knights,False
593,22-23,Edmonton Oilers,Los Angeles Kings,True
594,22-23,Dallas Stars,Minnesota Wild,True
595,22-23,Carolina Hurricanes,New York Islanders,False
596,22-23,Boston Bruins,Florida Panthers,False
597,22-23,Colorado Avalanche,Seattle Kraken,False
598,22-23,New Jersey Devils,New York Rangers,True
599,22-23,Toronto Maple Leafs,Tampa Bay Lightning,False
600,22-23,Vegas Golden Knights,Winnipeg Jets,True
601,22-23,Florida Panthers,Boston Bruins,True
602,22-23,Minnesota Wild,Dallas Stars,False
603,22-23,New York Islanders,Carolina Hurricanes,False
604,22-23,Seattle Kraken,Colorado Avalanche,False
605,22-23,Tampa Bay Lightning,Toronto Maple Leafs,False
606,22-23,Los Angeles Kings,Edmonton Oilers,False
607,22-23,New York Rangers,New Jersey Devils,True
608,22-23,Boston Bruins,Florida Panthers,False
609,22-23,Colorado Avalanche,Seattle Kraken,False
610,22-23,New Jersey Devils,New York Rangers,True
611,22-23,Dallas Stars,Seattle Kraken,False
612,22-23,Toronto Maple Leafs,Florida Panthers,False
613,22-23,Carolina Hurricanes,New Jersey Devils,True
614,22-23,Vegas Golden Knights,Edmonton Oilers,True
615,22-23,Dallas Stars,Seattle Kraken,True
616,22-23,Toronto Maple Leafs,Florida Panthers,False
617,22-23,Carolina Hurricanes,New Jersey Devils,True
618,22-23,Vegas Golden Knights,Edmonton Oilers,False
619,22-23,Florida Panthers,Toronto Maple Leafs,True
620,22-23,New Jersey Devils,Carolina Hurricanes,True
621,22-23,Seattle Kraken,Dallas Stars,True
622,22-23,Edmonton Oilers,Vegas Golden Knights,False
623,22-23,New Jersey Devils,Carolina Hurricanes,False
624,22-23,Seattle Kraken,Dallas Stars,False
625,22-23,Edmonton Oilers,Vegas Golden Knights,True
626,22-23,Florida Panthers,Toronto Maple Leafs,False
627,22-23,Dallas Stars,Seattle Kraken,True
628,22-23,Carolina Hurricanes,New Jersey Devils,True
629,22-23,Toronto Maple Leafs,Florida Panthers,False
630,22-23,Vegas Golden Knights,Edmonton Oilers,True
631,22-23,Seattle Kraken,Dallas Stars,True
632,22-23,Edmonton Oilers,Vegas Golden Knights,False
633,22-23,Dallas Stars,Seattle Kraken,True
634,22-23,Carolina Hurricanes,Florida Panthers,False
635,22-23,Vegas Golden Knights,Dallas Stars,True
636,22-23,Carolina Hurricanes,Florida Panthers,False
637,22-23,Vegas Golden Knights,Dallas Stars,True
638,22-23,Florida Panthers,Carolina Hurricanes,True
639,22-23,Dallas Stars,Vegas Golden Knights,False
640,22-23,Florida Panthers,Carolina Hurricanes,True
641,22-23,Dallas Stars,Vegas Golden Knights,True
642,22-23,Vegas Golden Knights,Dallas Stars,False
643,22-23,Dallas Stars,Vegas Golden Knights,False
644,22-23,Vegas Golden Knights,Florida Panthers,True
645,22-23,Vegas Golden Knights,Florida Panthers,True
646,22-23,Florida Panthers,Vegas Golden Knights,True
647,22-23,Florida Panthers,Vegas Golden Knights,False
648,22-23,Vegas Golden Knights,Florida Panthers,True
649,23-24,Carolina Hurricanes,New York Islanders,True
650,23-24,Boston Bruins,Toronto Maple Leafs,True
651,23-24,New York Rangers,Washington Capitals,True
652,23-24,Vancouver Canucks,Nashville Predators,True
653,23-24,Winnipeg Jets,Colorado Avalanche,True
654,23-24,Florida Panthers,Tampa Bay Lightning,True
655,23-24,Boston Bruins,Toronto Maple Leafs,False
656,23-24,Carolina Hurricanes,New York Islanders,True
657,23-24,Dallas Stars,Vegas Golden Knights,False
658,23-24,Edmonton Oilers,Los Angeles Kings,True
659,23-24,Winnipeg Jets,Colorado Avalanche,False
660,23-24,Vancouver Canucks,Nashville Predators,False
661,23-24,New York Rangers,Washington Capitals,True
662,23-24,Florida Panthers,Tampa Bay Lightning,True
663,23-24,Dallas Stars,Vegas Golden Knights,False
664,23-24,Edmonton Oilers,Los Angeles Kings,False
665,23-24,Toronto Maple Leafs,Boston Bruins,False
666,23-24,New York Islanders,Carolina Hurricanes,False
667,23-24,Tampa Bay Lightning,Florida Panthers,False
668,23-24,Colorado Avalanche,Winnipeg Jets,True
669,23-24,Los Angeles Kings,Edmonton Oilers,False
670,23-24,Nashville Predators,Vancouver Canucks,False
671,23-24,Washington Capitals,New York Rangers,False
672,23-24,New York Islanders,Carolina Hurricanes,True
673,23-24,Vegas Golden Knights,Dallas Stars,False
674,23-24,Tampa Bay Lightning,Florida Panthers,True
675,23-24,Toronto Maple Leafs,Boston Bruins,False
676,23-24,Colorado Avalanche,Winnipeg Jets,True
677,23-24,Los Angeles Kings,Edmonton Oilers,False
678,23-24,Nashville Predators,Vancouver Canucks,False
679,23-24,Washington Capitals,New York Rangers,False
680,23-24,Florida Panthers,Tampa Bay Lightning,True
681,23-24,Vegas Golden Knights,Dallas Stars,False
682,23-24,Carolina Hurricanes,New York Islanders,True
683,23-24,Winnipeg Jets,Colorado Avalanche,False
684,23-24,Vancouver Canucks,Nashville Predators,False
685,23-24,Boston Bruins,Toronto Maple Leafs,False
686,23-24,Dallas Stars,Vegas Golden Knights,True
687,23-24,Edmonton Oilers,Los Angeles Kings,True
688,23-24,Toronto Maple Leafs,Boston Bruins,True
689,23-24,Nashville Predators,Vancouver Canucks,False
690,23-24,Vegas Golden Knights,Dallas Stars,True
691,23-24,Boston Bruins,Toronto Maple Leafs,True
692,23-24,New York Rangers,Carolina Hurricanes,True
693,23-24,Dallas Stars,Vegas Golden Knights,True
694,23-24,Florida Panthers,Boston Bruins,False
695,23-24,New York Rangers,Carolina Hurricanes,True
696,23-24,Dallas Stars,Colorado Avalanche,False
697,23-24,Florida Panthers,Boston Bruins,True
698,23-24,Vancouver Canucks,Edmonton Oilers,True
699,23-24,Carolina Hurricanes,New York Rangers,False
700,23-24,Dallas Stars,Colorado Avalanche,True
701,23-24,Boston Bruins,Florida Panthers,False
702,23-24,Vancouver Canucks,Edmonton Oilers,False
703,23-24,Carolina Hurricanes,New York Rangers,True
704,23-24,Colorado Avalanche,Dallas Stars,False
705,23-24,Boston Bruins,Florida Panthers,False
706,23-24,Edmonton Oilers,Vancouver Canucks,False
707,23-24,Colorado Avalanche,Dallas Stars,False
708,23-24,New York Rangers,Carolina Hurricanes,False
709,23-24,Edmonton Oilers,Vancouver Canucks,True
710,23-24,Florida Panthers,Boston Bruins,False
711,23-24,Dallas Stars,Colorado Avalanche,False
712,23-24,Carolina Hurricanes,New York Rangers,False
713,23-24,Vancouver Canucks,Edmonton Oilers,True
714,23-24,Colorado Avalanche,Dallas Stars,False
715,23-24,Boston Bruins,Florida Panthers,False
716,23-24,Edmonton Oilers,Vancouver Canucks,True
717,23-24,Vancouver Canucks,Edmonton Oilers,False
718,23-24,New York Rangers,Florida Panthers,False
719,23-24,Dallas Stars,Edmonton Oilers,False
720,23-24,New York Rangers,Florida Panthers,True
721,23-24,Dallas Stars,Edmonton Oilers,True
722,23-24,Florida Panthers,New York Rangers,False
723,23-24,Edmonton Oilers,Dallas Stars,False
724,23-24,Florida Panthers,New York Rangers,True
725,23-24,Edmonton Oilers,Dallas Stars,True
726,23-24,New York Rangers,Florida Panthers,False
727,23-24,Dallas Stars,Edmonton Oilers,False
728,23-24,Florida Panthers,New York Rangers,True
729,23-24,Edmonton Oilers,Dallas Stars,True
730,23-24,Florida Panthers,Edmonton Oilers,True
731,23-24,Florida Panthers,Edmonton Oilers,True
732,23-24,Edmonton Oilers,Florida Panthers,False
733,23-24,Edmonton Oilers,Florida Panthers,True
734,23-24,Florida Panthers,Edmonton Oilers,False
735,23-24,Edmonton Oilers,Florida Panthers,True
736,23-24,Florida Panthers,Edmonton Oilers,True
