,year,Home,Visitor,HomeWin
116,17-18,San Jose Sharks,Anaheim Ducks,True
117,17-18,Columbus Blue Jackets,Washington Capitals,False
118,17-18,Toronto Maple Leafs,Boston Bruins,False
119,17-18,Nashville Predators,Colorado Avalanche,False
120,17-18,Winnipeg Jets,Minnesota Wild,True
121,17-18,Pittsburgh Penguins,Philadelphia Flyers,False
122,17-18,Boston Bruins,Toronto Maple Leafs,False
123,17-18,Tampa Bay Lightning,New Jersey Devils,True
124,17-18,Washington Capitals,Columbus Blue Jackets,True
125,17-18,Colorado Avalanche,Nashville Predators,False
126,17-18,Philadelphia Flyers,Pittsburgh Penguins,False
127,17-18,Columbus Blue Jackets,Washington Capitals,False
128,17-18,Toronto Maple Leafs,Boston Bruins,True
129,17-18,Boston Bruins,Toronto Maple Leafs,True
130,17-18,Washington Capitals,Pittsburgh Penguins,False
131,17-18,Vegas Golden Knights,San Jose Sharks,True
132,17-18,Nashville Predators,Winnipeg Jets,False
133,17-18,Tampa Bay Lightning,Boston Bruins,False
134,17-18,Vegas Golden Knights,San Jose Sharks,False
135,17-18,Nashville Predators,Winnipeg Jets,True
136,17-18,Washington Capitals,Pittsburgh Penguins,True
137,17-18,San Jose Sharks,Vegas Golden Knights,False
138,17-18,Tampa Bay Lightning,Boston Bruins,True
139,17-18,Pittsburgh Penguins,Washington Capitals,False
140,17-18,Winnipeg Jets,Nashville Predators,True
141,17-18,Boston Bruins,Tampa Bay Lightning,False
142,17-18,San Jose Sharks,Vegas Golden Knights,True
143,17-18,Pittsburgh Penguins,Washington Capitals,True
144,17-18,Winnipeg Jets,Nashville Predators,False
145,17-18,Boston Bruins,Tampa Bay Lightning,False
146,17-18,Vegas Golden Knights,San Jose Sharks,True
147,17-18,Nashville Predators,Winnipeg Jets,False
148,17-18,Washington Capitals,Pittsburgh Penguins,True
149,17-18,Tampa Bay Lightning,Boston Bruins,True
150,17-18,San Jose Sharks,Vegas Golden Knights,False
151,17-18,Pittsburgh Penguins,Washington Capitals,False
152,17-18,Winnipeg Jets,Nashville Predators,False
153,17-18,Nashville Predators,Winnipeg Jets,False
154,17-18,Tampa Bay Lightning,Washington Capitals,False
155,17-18,Winnipeg Jets,Vegas Golden Knights,True
156,17-18,Tampa Bay Lightning,Washington Capitals,False
157,17-18,Winnipeg Jets,Vegas Golden Knights,False
158,17-18,Washington Capitals,Tampa Bay Lightning,False
159,17-18,Vegas Golden Knights,Winnipeg Jets,True
160,17-18,Washington Capitals,Tampa Bay Lightning,False
161,17-18,Vegas Golden Knights,Winnipeg Jets,True
162,17-18,Tampa Bay Lightning,Washington Capitals,True
163,17-18,Winnipeg Jets,Vegas Golden Knights,False
164,17-18,Washington Capitals,Tampa Bay Lightning,True
165,17-18,Tampa Bay Lightning,Washington Capitals,False
166,17-18,Vegas Golden Knights,Washington Capitals,True
167,17-18,Vegas Golden Knights,Washington Capitals,False
168,17-18,Washington Capitals,Vegas Golden Knights,True
169,17-18,Washington Capitals,Vegas Golden Knights,True
170,17-18,Vegas Golden Knights,Washington Capitals,False
171,18-19,New York Islanders,Pittsburgh Penguins,True
172,18-19,Nashville Predators,Dallas Stars,False
173,18-19,Winnipeg Jets,St. Louis Blues,False
174,18-19,San Jose Sharks,Vegas Golden Knights,True
175,18-19,Tampa Bay Lightning,Columbus Blue Jackets,False
176,18-19,Boston Bruins,Toronto Maple Leafs,False
177,18-19,Calgary Flames,Colorado Avalanche,True
178,18-19,Washington Capitals,Carolina Hurricanes,True
179,18-19,New York Islanders,Pittsburgh Penguins,True
180,18-19,San Jose Sharks,Vegas Golden Knights,False
181,18-19,Tampa Bay Lightning,Columbus Blue Jackets,False
182,18-19,Winnipeg Jets,St. Louis Blues,False
183,18-19,Boston Bruins,Toronto Maple Leafs,True
184,18-19,Washington Capitals,Carolina Hurricanes,True
185,18-19,Nashville Predators,Dallas Stars,True
186,18-19,Calgary Flames,Colorado Avalanche,False
187,18-19,Columbus Blue Jackets,Tampa Bay Lightning,True
188,18-19,Pittsburgh Penguins,New York Islanders,False
189,18-19,St. Louis Blues,Winnipeg Jets,False
190,18-19,Vegas Golden Knights,San Jose Sharks,True
191,18-19,Toronto Maple Leafs,Boston Bruins,True
192,18-19,Dallas Stars,Nashville Predators,False
193,18-19,Carolina Hurricanes,Washington Capitals,True
194,18-19,Colorado Avalanche,Calgary Flames,True
195,18-19,Columbus Blue Jackets,Tampa Bay Lightning,True
196,18-19,Pittsburgh Penguins,New York Islanders,False
197,18-19,St. Louis Blues,Winnipeg Jets,False
198,18-19,Vegas Golden Knights,San Jose Sharks,True
199,18-19,Colorado Avalanche,Calgary Flames,True
200,18-19,Dallas Stars,Nashville Predators,True
201,18-19,Toronto Maple Leafs,Boston Bruins,False
202,18-19,Winnipeg Jets,St. Louis Blues,False
203,18-19,San Jose Sharks,Vegas Golden Knights,True
204,18-19,Carolina Hurricanes,Washington Capitals,True
205,18-19,Boston Bruins,Toronto Maple Leafs,False
206,18-19,Calgary Flames,Colorado Avalanche,False
207,18-19,Nashville Predators,Dallas Stars,False
208,18-19,St. Louis Blues,Winnipeg Jets,True
209,18-19,Washington Capitals,Carolina Hurricanes,True
210,18-19,Toronto Maple Leafs,Boston Bruins,False
211,18-19,Vegas Golden Knights,San Jose Sharks,False
212,18-19,Carolina Hurricanes,Washington Capitals,True
213,18-19,Dallas Stars,Nashville Predators,True
214,18-19,Boston Bruins,Toronto Maple Leafs,True
215,18-19,San Jose Sharks,Vegas Golden Knights,True
216,18-19,Washington Capitals,Carolina Hurricanes,False
217,18-19,St. Louis Blues,Dallas Stars,True
218,18-19,Boston Bruins,Columbus Blue Jackets,True
219,18-19,New York Islanders,Carolina Hurricanes,False
220,18-19,San Jose Sharks,Colorado Avalanche,True
221,18-19,Boston Bruins,Columbus Blue Jackets,False
222,18-19,St. Louis Blues,Dallas Stars,False
223,18-19,New York Islanders,Carolina Hurricanes,False
224,18-19,San Jose Sharks,Colorado Avalanche,False
225,18-19,Dallas Stars,St. Louis Blues,False
226,18-19,Colorado Avalanche,San Jose Sharks,False
227,18-19,Columbus Blue Jackets,Boston Bruins,True
228,18-19,Carolina Hurricanes,New York Islanders,True
229,18-19,Dallas Stars,St. Louis Blues,True
230,18-19,Columbus Blue Jackets,Boston Bruins,False
231,18-19,Colorado Avalanche,San Jose Sharks,True
232,18-19,Carolina Hurricanes,New York Islanders,True
233,18-19,St. Louis Blues,Dallas Stars,False
234,18-19,Boston Bruins,Columbus Blue Jackets,True
235,18-19,San Jose Sharks,Colorado Avalanche,True
236,18-19,Dallas Stars,St. Louis Blues,False
237,18-19,Colorado Avalanche,San Jose Sharks,True
238,18-19,Columbus Blue Jackets,Boston Bruins,False
239,18-19,St. Louis Blues,Dallas Stars,True
240,18-19,San Jose Sharks,Colorado Avalanche,True
241,18-19,Boston Bruins,Carolina Hurricanes,True
242,18-19,San Jose Sharks,St. Louis Blues,True
243,18-19,Boston Bruins,Carolina Hurricanes,True
244,18-19,San Jose Sharks,St. Louis Blues,False
245,18-19,Carolina Hurricanes,Boston Bruins,False
246,18-19,St. Louis Blues,San Jose Sharks,False
247,18-19,Carolina Hurricanes,Boston Bruins,False
248,18-19,St. Louis Blues,San Jose Sharks,True
249,18-19,San Jose Sharks,St. Louis Blues,False
250,18-19,St. Louis Blues,San Jose Sharks,True
251,18-19,Boston Bruins,St. Louis Blues,True
252,18-19,Boston Bruins,St. Louis Blues,False
253,18-19,St. Louis Blues,Boston Bruins,False
254,18-19,St. Louis Blues,Boston Bruins,True
255,18-19,Boston Bruins,St. Louis Blues,False
256,18-19,St. Louis Blues,Boston Bruins,False
257,18-19,Boston Bruins,St. Louis Blues,False
258,19-20,Carolina Hurricanes,New York Rangers,True
259,19-20,Calgary Flames,Winnipeg Jets,True
260,19-20,Edmonton Oilers,Chicago Blackhawks,False
261,19-20,New York Islanders,Florida Panthers,True
262,19-20,Pittsburgh Penguins,Montreal Canadiens,False
263,19-20,Boston Bruins,Philadelphia Flyers,False
264,19-20,Colorado Avalanche,St. Louis Blues,True
265,19-20,Nashville Predators,Arizona Coyotes,False
266,19-20,Toronto Maple Leafs,Columbus Blue Jackets,False
267,19-20,Vancouver Canucks,Minnesota Wild,False
268,19-20,Carolina Hurricanes,New York Rangers,True
269,19-20,Calgary Flames,Winnipeg Jets,False
270,19-20,Edmonton Oilers,Chicago Blackhawks,True
271,19-20,Pittsburgh Penguins,Montreal Canadiens,True
272,19-20,Tampa Bay Lightning,Washington Capitals,True
273,19-20,Vegas Golden Knights,Dallas Stars,True
274,19-20,Nashville Predators,Arizona Coyotes,True
275,19-20,New York Islanders,Florida Panthers,True
276,19-20,New York Rangers,Carolina Hurricanes,False
277,19-20,Toronto Maple Leafs,Columbus Blue Jackets,True
278,19-20,Vancouver Canucks,Minnesota Wild,True
279,19-20,Winnipeg Jets,Calgary Flames,False
280,19-20,Arizona Coyotes,Nashville Predators,True
281,19-20,Boston Bruins,Tampa Bay Lightning,False
282,19-20,Chicago Blackhawks,Edmonton Oilers,True
283,19-20,Dallas Stars,Colorado Avalanche,False
284,19-20,Florida Panthers,New York Islanders,True
285,19-20,Montreal Canadiens,Pittsburgh Penguins,True
286,19-20,Columbus Blue Jackets,Toronto Maple Leafs,True
287,19-20,Minnesota Wild,Vancouver Canucks,False
288,19-20,Philadelphia Flyers,Washington Capitals,True
289,19-20,St. Louis Blues,Vegas Golden Knights,False
290,19-20,Winnipeg Jets,Calgary Flames,False
291,19-20,Arizona Coyotes,Nashville Predators,True
292,19-20,Columbus Blue Jackets,Toronto Maple Leafs,False
293,19-20,Chicago Blackhawks,Edmonton Oilers,True
294,19-20,Florida Panthers,New York Islanders,False
295,19-20,Minnesota Wild,Vancouver Canucks,False
296,19-20,Montreal Canadiens,Pittsburgh Penguins,True
297,19-20,Colorado Avalanche,Vegas Golden Knights,False
298,19-20,Tampa Bay Lightning,Philadelphia Flyers,False
299,19-20,St. Louis Blues,Dallas Stars,False
300,19-20,Toronto Maple Leafs,Columbus Blue Jackets,False
301,19-20,Washington Capitals,Boston Bruins,True
302,19-20,Dallas Stars,Calgary Flames,False
303,19-20,Tampa Bay Lightning,Columbus Blue Jackets,True
304,19-20,Vegas Golden Knights,Chicago Blackhawks,True
305,19-20,Boston Bruins,Carolina Hurricanes,True
306,19-20,Colorado Avalanche,Arizona Coyotes,True
307,19-20,Philadelphia Flyers,Montreal Canadiens,True
308,19-20,St. Louis Blues,Vancouver Canucks,False
309,19-20,Washington Capitals,New York Islanders,False
310,19-20,Boston Bruins,Carolina Hurricanes,False
311,19-20,Dallas Stars,Calgary Flames,True
312,19-20,Tampa Bay Lightning,Columbus Blue Jackets,False
313,19-20,Vegas Golden Knights,Chicago Blackhawks,True
314,19-20,Calgary Flames,Dallas Stars,True
315,19-20,Colorado Avalanche,Arizona Coyotes,True
316,19-20,Philadelphia Flyers,Montreal Canadiens,False
317,19-20,St. Louis Blues,Vancouver Canucks,False
318,19-20,Washington Capitals,New York Islanders,False
319,19-20,Arizona Coyotes,Colorado Avalanche,True
320,19-20,Carolina Hurricanes,Boston Bruins,False
321,19-20,Columbus Blue Jackets,Tampa Bay Lightning,False
322,19-20,Chicago Blackhawks,Vegas Golden Knights,False
323,19-20,Calgary Flames,Dallas Stars,False
324,19-20,Chicago Blackhawks,Vegas Golden Knights,True
325,19-20,Montreal Canadiens,Philadelphia Flyers,False
326,19-20,New York Islanders,Washington Capitals,True
327,19-20,Vancouver Canucks,St. Louis Blues,False
328,19-20,Arizona Coyotes,Colorado Avalanche,False
329,19-20,Carolina Hurricanes,Boston Bruins,False
330,19-20,Columbus Blue Jackets,Tampa Bay Lightning,False
331,19-20,Vancouver Canucks,St. Louis Blues,False
332,19-20,Dallas Stars,Calgary Flames,True
333,19-20,Montreal Canadiens,Philadelphia Flyers,False
334,19-20,New York Islanders,Washington Capitals,False
335,19-20,Vegas Golden Knights,Chicago Blackhawks,True
336,19-20,Boston Bruins,Carolina Hurricanes,True
337,19-20,Colorado Avalanche,Arizona Coyotes,True
338,19-20,Philadelphia Flyers,Montreal Canadiens,False
339,19-20,St. Louis Blues,Vancouver Canucks,False
340,19-20,Tampa Bay Lightning,Columbus Blue Jackets,True
341,19-20,Calgary Flames,Dallas Stars,False
342,19-20,Washington Capitals,New York Islanders,False
343,19-20,Montreal Canadiens,Philadelphia Flyers,False
344,19-20,Vancouver Canucks,St. Louis Blues,True
345,19-20,Colorado Avalanche,Dallas Stars,False
346,19-20,Tampa Bay Lightning,Boston Bruins,False
347,19-20,Vegas Golden Knights,Vancouver Canucks,True
348,19-20,Colorado Avalanche,Dallas Stars,False
349,19-20,Philadelphia Flyers,New York Islanders,False
350,19-20,Tampa Bay Lightning,Boston Bruins,True
351,19-20,Vegas Golden Knights,Vancouver Canucks,False
352,19-20,Boston Bruins,Tampa Bay Lightning,False
353,19-20,Dallas Stars,Colorado Avalanche,False
354,19-20,Philadelphia Flyers,New York Islanders,True
355,19-20,Boston Bruins,Tampa Bay Lightning,False
356,19-20,New York Islanders,Philadelphia Flyers,True
357,19-20,Vancouver Canucks,Vegas Golden Knights,False
358,19-20,Dallas Stars,Colorado Avalanche,True
359,19-20,New York Islanders,Philadelphia Flyers,True
360,19-20,Vancouver Canucks,Vegas Golden Knights,False
361,19-20,Colorado Avalanche,Dallas Stars,True
362,19-20,Tampa Bay Lightning,Boston Bruins,True
363,19-20,Philadelphia Flyers,New York Islanders,True
364,19-20,Vegas Golden Knights,Vancouver Canucks,False
365,19-20,Dallas Stars,Colorado Avalanche,False
