Rk,TeamName,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Nashville Predators,7.6,.939,101.6,3854,3629,51.5,2857,2689,51.5,161.8,165.7,168,128,+44,1540,1575,49.4,319,345,48.0,65,16.9,41,10.6
2,Winnipeg Jets,7.9,.931,101.0,3815,3590,51.5,2847,2657,51.7,166.6,147.4,176,144,+13,1578,1427,52.5,326,303,51.8,56,14.7,48,13.7
3,Tampa Bay Lightning,8.6,.934,102.0,3879,3640,51.6,2925,2762,51.4,176.0,168.3,196,146,+42,1695,1620,51.1,358,273,56.7,68,16.0,43,13.6
4,Boston Bruins,7.3,.929,100.2,3916,3373,53.7,2948,2532,53.8,170.6,145.1,166,138,+3,1694,1466,53.6,338,315,51.8,55,14.0,47,13.0
5,Vegas Golden Knights,7.8,.927,100.5,3885,3755,50.9,2884,2802,50.7,165.7,163.6,175,157,+16,1707,1603,51.6,287,296,49.2,47,14.1,54,15.4
6,Washington Capitals,8.5,.930,101.4,3618,3923,48.0,2659,2958,47.3,151.5,168.3,171,154,+34,1579,1712,48.0,288,388,42.6,49,14.5,66,14.5
7,Toronto Maple Leafs,8.3,.933,101.6,3967,3999,49.8,2928,3089,48.7,188.7,176.7,187,158,+17,1874,1791,51.1,420,365,53.5,73,14.8,55,13.1
8,Minnesota Wild,7.6,.932,100.7,3442,3850,47.2,2607,2809,48.1,162.3,142.6,160,145,-5,1514,1394,52.1,340,278,55.0,53,13.5,52,15.8
9,Anaheim Ducks,7.5,.937,101.2,3665,3883,48.6,2753,2928,48.5,155.1,168.5,157,137,+33,1620,1697,48.8,334,353,48.6,61,15.4,48,12.0
10,San Jose Sharks,7.1,.922,99.3,4073,3929,50.9,2968,2773,51.7,172.7,166.2,159,166,-14,1695,1622,51.1,413,347,54.3,60,12.7,59,14.5
11,Pittsburgh Penguins,6.7,.918,98.5,3969,3622,52.3,3016,2665,53.1,189.6,167.3,161,176,-37,1761,1624,52.0,382,356,51.8,54,12.4,63,15.0
12,Los Angeles Kings,7.4,.936,101.0,3695,3692,50.0,2739,2771,49.7,146.7,154.7,155,134,+29,1593,1556,50.6,315,331,48.8,52,14.2,41,11.0
13,Philadelphia Flyers,7.3,.930,100.3,3662,3705,49.7,2737,2729,50.1,159.9,151.7,158,145,+5,1440,1573,47.8,335,316,51.5,63,15.8,60,16.0
14,Columbus Blue Jackets,6.9,.933,100.2,4049,3815,51.5,3106,2799,52.6,183.0,176.0,169,149,+13,1791,1653,52.0,359,376,48.8,54,13.1,46,10.9
15,New Jersey Devils,7.3,.924,99.7,3586,3797,48.6,2769,2881,49.0,164.7,162.0,160,167,-10,1543,1590,49.2,328,295,52.6,55,14.4,52,15.0
16,Florida Panthers,7.1,.929,100.0,3803,3927,49.2,2966,2963,50.0,166.9,171.8,167,168,+4,1636,1580,50.9,306,350,46.6,51,14.3,56,13.8
17,Colorado Avalanche,7.6,.936,101.3,3491,3842,47.6,2530,2847,47.1,140.8,157.8,152,140,+29,1467,1557,48.5,262,334,44.0,34,11.5,51,13.2
18,St. Louis Blues,6.7,.933,100.0,3895,3639,51.7,2893,2597,52.7,160.7,155.7,150,138,+7,1607,1473,52.2,321,317,50.3,48,13.0,51,13.9
19,Dallas Stars,7.1,.932,100.3,3727,3578,51.0,2681,2566,51.1,161.2,140.9,148,135,-7,1564,1479,51.4,321,278,53.6,45,12.3,33,10.6
20,Calgary Flames,6.4,.925,98.9,4176,3630,53.5,3126,2738,53.3,166.8,151.2,147,158,-27,1665,1554,51.7,374,340,52.4,46,11.0,54,13.7
21,Carolina Hurricanes,6.6,.916,98.2,4260,3559,54.5,3114,2738,53.2,170.3,155.4,155,179,-39,1707,1561,52.2,385,319,54.7,65,14.4,57,15.2
22,New York Islanders,8.1,.923,100.4,3739,4139,47.5,2732,3106,46.8,173.7,195.4,177,190,+9,1610,1839,46.7,347,376,48.0,61,15.0,68,15.3
23,Edmonton Oilers,7.0,.924,99.4,4049,3953,50.6,3037,2903,51.1,183.6,178.1,163,176,-19,1764,1714,50.7,374,360,51.0,51,12.0,50,12.2
